Date,Open,High,Low,Close,Adj Close,Volume
2013-06-01,41.400002,41.950001,36.160000,38.500000,30.814098,1877426000
2013-07-01,38.680000,40.240002,36.980000,39.009998,31.632456,1436049500
2013-08-01,39.430000,40.200001,37.169998,38.020000,30.829683,1410814100
2013-09-01,38.570000,43.320000,38.169998,40.759998,33.051498,1415824200
2013-10-01,41.040001,43.910000,41.009998,42.459999,34.429996,1293420000
2013-11-01,42.619999,43.090000,40.320000,42.349998,34.340797,1307769100
2013-12-01,42.189999,42.259998,40.139999,41.799999,33.894825,1263030200
2014-01-01,41.000000,41.009998,37.580002,38.189999,31.247435,1760606900
2014-02-01,37.860001,39.869999,37.049999,39.480000,32.302917,1540215400
2014-03-01,38.720001,41.250000,38.029999,41.009998,33.554779,1513694500
2014-04-01,41.400002,42.470001,40.540001,41.330002,33.816605,1473693800
2014-05-01,41.279999,43.290001,41.080002,42.549999,34.814831,1040412500
2014-06-01,42.730000,43.980000,42.560001,43.230000,35.371204,772431100
2014-07-01,43.549999,45.130001,43.400002,43.820000,36.137566,884413800
2014-08-01,43.950001,45.580002,43.139999,45.060001,37.160172,1024739400
2014-09-01,45.049999,45.849998,41.360001,41.560001,34.273785,1431626700
2014-10-01,41.340000,42.330002,39.680000,42.150002,34.760342,1722060400
2014-11-01,42.009998,42.459999,40.910000,41.500000,34.224304,834550900
2014-12-01,41.049999,41.099998,37.230000,39.290001,32.401764,1240555700
2015-01-01,39.189999,41.110001,37.720001,39.020000,32.641945,1267125700
2015-02-01,39.529999,41.000000,39.099998,40.740002,34.080807,791529100
2015-03-01,40.639999,40.709999,38.070000,40.130001,33.570507,1205310600
2015-04-01,40.450001,44.189999,40.360001,42.880001,35.871010,1029246700
2015-05-01,43.090000,43.459999,41.070000,41.119999,34.398685,820405200
2015-06-01,41.139999,41.299999,39.029999,39.619999,33.143871,1024835400
2015-07-01,39.840000,40.020000,36.270000,37.119999,31.283588,1171469900
2015-08-01,36.669998,37.009998,30.000000,33.840000,28.519306,1698226200
2015-09-01,32.810001,35.349998,31.610001,32.779999,27.625967,1344404000
2015-10-01,33.049999,36.419998,32.689999,34.869999,29.387358,1402388300
2015-11-01,35.169998,36.270000,33.439999,33.990002,28.645721,1200093500
2015-12-01,34.160000,34.299999,31.500000,32.189999,27.128735,1400386300
2016-01-01,31.350000,31.500000,27.610001,30.570000,26.164942,1442936000
2016-02-01,30.059999,30.990000,28.600000,30.320000,25.950962,1333275700
2016-03-01,30.900000,34.580002,30.889999,34.250000,29.314659,1559492600
2016-04-01,33.520000,35.340000,32.730000,34.389999,29.434488,1259961000
2016-05-01,34.389999,34.400002,31.700001,33.119999,28.347488,1426199200
2016-06-01,32.990002,34.860001,31.889999,34.360001,29.408808,1686201000
2016-07-01,34.619999,36.250000,33.330002,36.209999,31.235743,1306270200
